97,98,96,23,30000,14
97,98,96,21,40000,15
97,98,96,21,22,23
97,98,96,25,150000,16
97,98,96,26,90000,17
97,98,96,21,60000,23
97,98,96,4,5,6
97,98,96,1,2,3
97,98,96,9,10,11
97,98,96,12,13,15
97,98,96,8,8,8
100,100,96,23,30000,14
100,100,96,21,40000,15
100,100,96,21,22,23
100,100,96,25,150000,16
100,100,96,26,90000,17
100,100,96,21,60000,23
100,100,96,4,5,6
100,100,96,1,2,3
100,100,96,9,10,11
100,100,96,12,13,15
100,100,96,8,8,8
94,94,98,23,30000,14
94,94,98,21,40000,15
94,94,98,21,22,23
94,94,98,25,150000,16
94,94,98,26,90000,17
94,94,98,21,60000,23
94,94,98,4,5,6
94,94,98,1,2,3
94,94,98,9,10,11
94,94,98,12,13,15
94,94,98,8,8,8
101,99,95,23,30000,14
101,99,95,21,40000,15
101,99,95,21,22,23
101,99,95,25,150000,16
101,99,95,26,90000,17
101,99,95,21,60000,23
101,99,95,4,5,6
101,99,95,1,2,3
101,99,95,9,10,11
101,99,95,12,13,15
101,99,95,8,8,8
